date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,TECH,68.1,69.51,68.1,69.22,432400,1.11,1.64,68.7325
2020-07-31,TECH,69.41,70.89,67.89,68.79,1009200,-0.615,-0.89324,69.245
2020-08-03,TECH,69.61,71.0,69.22,69.72,1008420,0.105,0.15802,69.8875
2020-08-04,TECH,71.13,71.13,64.99,69.22,1770400,-1.91,-2.69,69.1175
2020-08-05,TECH,69.75,69.75,66.69,66.97,763672,-2.78,-3.99,68.29
2020-08-06,TECH,67.62,67.8,65.58,66.64,488112,-0.98,-1.45,66.91
2020-08-07,TECH,66.44,67.51,65.67,66.44,397600,0.005,0.0,66.515
2020-08-10,TECH,66.26,66.46,64.31,64.47,444948,-1.78,-2.7,65.375
2020-08-11,TECH,64.69,66.04,64.38,65.46,728828,0.765,1.19,65.1425
2020-08-12,TECH,65.79,66.33,65.38,65.86,413600,0.065,0.1064,65.84
2020-08-13,TECH,65.79,66.96,65.5,66.57,445680,0.785,1.19,66.205
2020-08-14,TECH,66.38,66.43,64.68,65.26,398432,-1.12,-1.69,65.6875
2020-08-17,TECH,65.45,67.18,65.28,65.68,457200,0.23,0.35141,65.8975
2020-08-18,TECH,65.63,66.04,65.39,65.61,269260,-0.0225,-0.03047387,65.6675
2020-08-19,TECH,65.63,65.97,64.8,65.01,362984,-0.62,-0.94469,65.3525
2020-08-20,TECH,64.81,65.06,64.41,64.61,420872,-0.2,-0.30859,64.7225
2020-08-21,TECH,64.74,64.75,63.8,64.46,629200,-0.28,-0.4325,64.4375
2020-08-24,TECH,64.85,64.85,62.45,62.58,526400,-2.27,-3.5,63.6825
2020-08-25,TECH,62.74,63.43,62.51,62.73,652000,-0.0075,-0.0159388,62.8525
2020-08-26,TECH,62.68,63.4,62.18,63.19,871216,0.515,0.81366,62.8625
2020-08-27,TECH,63.45,63.51,61.8,63.26,597300,-0.1875,-0.29945,63.005
2020-08-28,TECH,63.35,63.64,62.36,63.26,530000,-0.085,-0.14207,63.1525
2020-08-31,TECH,63.26,64.31,63.2,63.87,535204,0.605,0.96427,63.66
2020-09-01,TECH,64.45,64.88,63.27,64.36,921600,-0.0925,-0.13964,64.24
2020-09-02,TECH,64.54,65.56,63.79,65.39,584456,0.8525,1.32,64.82
2020-09-03,TECH,64.72,64.9,61.86,62.67,1033628,-2.05,-3.17,63.5375
2020-09-04,TECH,62.83,63.67,60.75,61.56,609712,-1.28,-2.02,62.2025
2020-09-08,TECH,60.7,62.34,60.43,61.39,1107200,0.685,1.14,61.215
2020-09-09,TECH,62.18,63.67,61.88,62.51,611600,0.325,0.53072,62.56
2020-09-10,TECH,62.48,63.26,61.52,61.58,403200,-0.895,-1.44,62.21
2020-09-11,TECH,62.0,62.16,60.87,60.94,391676,-1.06,-1.71,61.4925
2020-09-14,TECH,61.58,62.59,61.02,61.84,425356,0.255,0.42222,61.7575
2020-09-15,TECH,62.48,62.83,61.14,61.4,558800,-1.07,-1.73,61.9625
2020-09-16,TECH,61.64,61.76,61.05,61.15,372172,-0.4925,-0.79494,61.4
2020-09-17,TECH,60.53,61.76,60.07,61.31,780552,0.7825,1.29,60.9175
2020-09-18,TECH,61.81,61.88,60.23,60.98,1547200,-0.8325,-1.34,61.225
2020-09-21,TECH,60.18,60.5,58.94,59.43,622000,-0.75,-1.25,59.7625
2020-09-22,TECH,59.47,60.82,58.91,60.81,676000,1.34,2.25,60.0025
2020-09-23,TECH,60.97,62.05,60.11,60.75,766800,-0.22,-0.36083,60.97
2020-09-24,TECH,60.5,60.9,57.17,58.06,1241200,-2.44,-4.03,59.1575
2020-09-25,TECH,58.24,60.56,57.59,60.44,1252400,2.2,3.78,59.2075
2020-09-28,TECH,61.0,61.81,60.51,60.94,424504,-0.065,-0.09836066,61.065
2020-09-29,TECH,61.02,62.4,60.73,61.69,675668,0.6675,1.1,61.46
2020-09-30,TECH,62.31,62.4,61.35,61.93,942400,-0.38,-0.60985,61.9975
2020-10-01,TECH,61.9,63.0,61.68,62.18,808936,0.28,0.45234,62.19
2020-10-02,TECH,61.5,62.19,61.46,61.73,611200,0.225,0.37398,61.72
2020-10-05,TECH,61.97,63.12,61.97,63.04,855200,1.07,1.73,62.525
2020-10-06,TECH,63.25,64.66,63.03,64.05,646800,0.7975,1.26,63.7475
2020-10-07,TECH,64.36,66.22,64.02,65.99,703200,1.63,2.53,65.1475
2020-10-08,TECH,65.91,66.18,65.05,65.47,610000,-0.4325,-0.66758,65.6525
2020-10-09,TECH,66.0,66.39,65.26,66.27,565368,0.27,0.40909,65.98
2020-10-12,TECH,66.88,67.36,66.04,67.14,296404,0.2525,0.38876,66.855
2020-10-13,TECH,67.12,67.82,66.63,67.4,602400,0.2775,0.41716,67.2425
2020-10-14,TECH,67.58,68.16,66.64,67.22,432136,-0.365,-0.5327,67.4
2020-10-15,TECH,66.64,66.95,66.12,66.39,614800,-0.245,-0.37515,66.525
2020-10-16,TECH,66.77,67.67,66.22,66.42,535200,-0.35,-0.52419,66.77
2020-10-19,TECH,66.66,67.32,65.9,66.15,626400,-0.5125,-0.76508,66.5075
2020-10-20,TECH,66.33,66.91,65.94,66.12,439396,-0.2125,-0.3166,66.325
2020-10-21,TECH,66.32,67.14,65.38,65.45,569800,-0.865,-1.31,66.0725
2020-10-22,TECH,65.3,67.5,65.3,67.42,685644,2.12,3.25,66.38
2020-10-23,TECH,67.75,67.75,66.65,67.11,506512,-0.63,-0.94465,67.315
2020-10-26,TECH,66.51,66.93,65.57,66.14,521796,-0.3725,-0.55631,66.2875
2020-10-27,TECH,66.39,67.19,66.23,66.55,537200,0.16,0.241,66.59
2020-10-28,TECH,65.82,65.82,64.33,64.41,524120,-1.4,-2.14,65.095
2020-10-29,TECH,64.42,64.42,63.0,63.92,702880,-0.4975,-0.77616,63.94
2020-10-30,TECH,63.61,64.46,62.56,63.1,667620,-0.5025,-0.80176,63.4325
2020-11-02,TECH,63.8,65.41,63.52,65.0,539200,1.2,1.88,64.4325
2020-11-03,TECH,65.6,67.08,65.6,66.58,435200,0.99,1.49,66.215
2020-11-04,TECH,68.08,69.28,66.01,66.79,873356,-1.29,-1.89,67.54
2020-11-05,TECH,70.0,76.53,69.38,76.15,2033764,6.15,8.79,73.015
2020-11-06,TECH,73.78,76.5,73.6,75.62,940048,1.84,2.49,74.875
2020-11-09,TECH,77.5,79.22,75.87,76.05,914808,-1.45,-1.87,77.16
2020-11-10,TECH,75.05,76.99,73.07,75.07,763600,0.025,0.0266489,75.045
2020-11-11,TECH,75.76,77.08,75.76,76.61,658420,0.85,1.12,76.3025
2020-11-12,TECH,76.33,76.63,75.27,75.88,526896,-0.4525,-0.58955,76.0275
2020-11-13,TECH,76.5,76.8,75.52,75.71,353600,-0.7825,-1.03,76.1325
2020-11-16,TECH,75.64,75.83,73.7,75.72,426800,0.0775,0.10576,75.2225
2020-11-17,TECH,75.46,77.08,74.81,76.93,636868,1.48,1.95,76.07
2020-11-18,TECH,77.13,77.13,75.05,75.24,1244056,-1.89,-2.45,76.1375
2020-11-19,TECH,75.19,76.43,74.63,75.57,603600,0.3725,0.50539,75.455
2020-11-20,TECH,75.39,76.63,74.5,76.22,633260,0.8325,1.1,75.685
2020-11-23,TECH,76.39,76.39,75.14,75.94,536000,-0.455,-0.58908,75.965
2020-11-24,TECH,76.49,76.49,74.77,75.71,557664,-0.78,-1.02,75.865
2020-11-25,TECH,76.4,77.31,75.07,75.44,679600,-0.9625,-1.26,76.055
2020-11-27,TECH,75.62,76.07,74.0,74.41,283212,-1.21,-1.6,75.025
2020-11-30,TECH,74.97,75.85,74.57,75.83,796000,0.8575,1.15,75.305
2020-12-01,TECH,76.49,77.25,76.04,76.24,831200,-0.255,-0.32684,76.505
2020-12-02,TECH,76.97,76.97,74.16,74.58,506920,-2.38,-3.11,75.67
2020-12-03,TECH,74.54,75.08,74.21,74.74,492104,0.1975,0.26831,74.6425
2020-12-04,TECH,75.56,76.71,75.16,76.65,454000,1.08,1.44,76.02
2020-12-07,TECH,76.92,77.9,76.54,76.98,317668,0.0625,0.07800312,77.085
2020-12-08,TECH,77.29,78.22,76.68,77.21,536804,-0.08,-0.10351,77.35
2020-12-09,TECH,77.46,77.46,75.0,75.41,439768,-2.05,-2.65,76.3325
2020-12-10,TECH,75.21,76.48,74.47,76.3,400184,1.09,1.45,75.615
2020-12-11,TECH,76.44,77.39,75.43,76.24,293600,-0.195,-0.26164,76.375
