date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,DVA,90.13,91.61,88.27,91.12,1377697,0.99,1.1,89.98
2020-07-31,DVA,91.6,92.16,85.71,87.39,1847563,-4.21,-4.6,87.45
2020-08-03,DVA,87.63,88.75,86.45,87.21,920554,-0.42,-0.47929,87.55
2020-08-04,DVA,86.63,86.855,83.51,83.57,1221358,-3.06,-3.53,84.15
2020-08-05,DVA,83.52,84.37,82.32,82.92,1148533,-0.6,-0.71839,82.93
2020-08-06,DVA,82.56,83.645,81.535,82.29,912885,-0.27,-0.32703,82.28
2020-08-07,DVA,82.38,83.705,81.4777,82.37,778035,-0.01,-0.01213887,82.2
2020-08-10,DVA,82.16,83.315,81.97,82.6,775840,0.44,0.53554,82.72
2020-08-11,DVA,83.37,83.975,81.39,81.73,1322782,-1.64,-1.97,81.9
2020-08-12,DVA,82.35,82.83,81.81,82.46,787210,0.11,0.13358,82.36
2020-08-13,DVA,82.01,82.41,81.25,81.67,505586,-0.34,-0.41458,81.65
2020-08-14,DVA,81.41,82.78,81.21,82.17,404409,0.76,0.93355,82.09
2020-08-17,DVA,85.92,87.17,85.475,86.26,1292080,0.34,0.39572,86.38
2020-08-18,DVA,86.16,86.94,85.23,86.54,1013843,0.38,0.44104,86.41
2020-08-19,DVA,86.85,87.17,85.9,86.21,666576,-0.64,-0.7369,86.47
2020-08-20,DVA,86.18,88.37,86.1,86.72,1176191,0.54,0.6266,87.46
2020-08-21,DVA,86.87,86.995,86.01,86.8,833253,-0.07,-0.08058018,86.66
2020-08-24,DVA,87.02,87.97,86.88,87.57,762748,0.55,0.63204,87.49
2020-08-25,DVA,87.8,88.34,87.05,87.71,584132,-0.09,-0.10251,87.72
2020-08-26,DVA,87.15,87.5964,86.42,87.52,568485,0.37,0.42456,87.07
2020-08-27,DVA,87.72,87.725,86.63,86.95,1127145,-0.77,-0.87779,87.2
2020-08-28,DVA,86.67,87.48,86.49,86.94,921232,0.27,0.31153,86.95
2020-08-31,DVA,86.22,88.4,86.22,86.76,1371314,0.54,0.6263,87.16
2020-09-01,DVA,87.095,88.18,86.74,87.34,1070987,0.245,0.2813,87.57
2020-09-02,DVA,87.33,89.75,87.05,89.44,1227743,2.11,2.42,89.14
2020-09-03,DVA,89.3,90.6,87.0,87.49,902939,-1.81,-2.03,87.81
2020-09-04,DVA,87.63,87.84,86.01,87.06,1926247,-0.57,-0.65046,86.91
2020-09-08,DVA,86.84,86.84,84.89,85.0,2332517,-1.84,-2.12,85.86
2020-09-09,DVA,85.5,88.42,85.33,87.97,1036211,2.47,2.89,87.64
2020-09-10,DVA,88.21,89.12,87.48,87.59,1058616,-0.62,-0.70287,88.12
2020-09-11,DVA,88.0,88.39,87.2,88.05,1664542,0.05,0.05681818,87.95
2020-09-14,DVA,88.12,88.525,87.14,87.79,2969792,-0.33,-0.37449,87.78
2020-09-15,DVA,88.35,90.81,88.35,89.84,2160632,1.49,1.69,89.72
2020-09-16,DVA,90.97,92.67,90.27,91.84,1139449,0.87,0.95636,91.83
2020-09-17,DVA,91.83,91.99,88.95,90.14,1303560,-1.69,-1.84,90.05
2020-09-18,DVA,90.4,90.4,86.5372,87.32,2514288,-3.08,-3.41,87.74
2020-09-21,DVA,86.31,86.46,82.52,85.12,1413784,-1.19,-1.38,84.46
2020-09-22,DVA,84.54,85.23,82.58,84.64,1604193,0.1,0.11829,84.51
2020-09-23,DVA,84.66,84.67,81.74,82.41,1240197,-2.25,-2.66,82.8
2020-09-24,DVA,81.91,82.56,81.03,81.56,1198574,-0.35,-0.4273,81.92
